Dy,BART,BARTp,BARTpadj,CCT,CCTn,CCTnadj,CCTr,CCTradj,DFEss,DFEr,DFEre,DFD,DFDr,LOT,LOTr,LOTcv,MPL,MPLr,MT,MTr,VRTTT,GABS,SOEP,SOEPdri,SOEPfin,SOEPrec,SOEPocc,SOEPhea,SOEPsoc,Deth,Dinv,Dgam,Dhea,Drec,Dsoc,Deth_r,Dinv_r,Dgam_r,Dhea_r,Drec_r,Dsoc_r,Deth_b,Dinv_b,Dgam_b,Dhea_b,Drec_b,Dsoc_b,PRI,PRIw,BIS1att,BIS1mot,BIS1ctr,BIS1com,BIS1per,BIS1ins,BISa,BISm,BISn,BIS,SStas,SSexp,SSdis,SSbor,SSSV,age,sex,loc,ses,ses_moth,ses_fath,sibl,sibl_y,sibl_o,birthrank,edu,income,NUM,MUpc,OSpcL,SSpcL,SSTM,WMC,NEO_A,NEO_C,NEO_E,NEO_N,NEO_O,STAI_trait,gen_valence,gen_arousal,gen_arouspos,gen_arousneg,gen_happy,gen_afraid,gen_sad,gen_angry,gen_motivat,gen_concentr,gen_timepr,gen_tired,pre_valence,pre_arousal,pre_arouspos,pre_arousneg,pre_happy,pre_afraid,pre_sad,pre_angry,pre_motivat,pre_concentr,pre_timepr,pre_tired,mid1_valence,mid1_arousal,mid1_arouspos,mid1_arousneg,mid1_happy,mid1_afraid,mid1_sad,mid1_angry,mid1_motivat,mid1_concentr,mid1_timepr,mid1_tired,mid2_valence,mid2_arousal,mid2_arouspos,mid2_arousneg,mid2_happy,mid2_afraid,mid2_sad,mid2_angry,mid2_motivat,mid2_concentr,mid2_timepr,mid2_tired,post_valence,post_arousal,post_arouspos,post_arousneg,post_happy,post_afraid,post_sad,post_angry,post_motivat,post_concentr,post_timepr,post_tired,ABCTEU_OS,ABCTEU_CS,ABCTEU_DEV,ABCTEU_BIC,ABCT4P_OS,ABCT4P_PW,ABCT4P_LA,ABCT4P_CS,ABCT4P_DEV,ABCT4P_BIC,ABCT6P_OSg,ABCT6P_OSl,ABCT6P_PWg,ABCT6P_PWl,ABCT6P_LA,ABCT6P_CS,ABCT6P_DEV,ABCT6P_BIC,ABCTRN_DEV,MPLEU_OS,MPLEU_CS,MPLEU_DEV,MPLEU_BIC,MPL4P_OS,MPL4P_PW,MPL4P_LA,MPL4P_CS,MPL4P_DEV,MPL4P_BIC,MPL6P_OSg,MPL6P_OSl,MPL6P_PWg,MPL6P_PWl,MPL6P_LA,MPL6P_CS,MPL6P_DEV,MPL6P_BIC,MPLRN_DEV,CCTEU_OS,CCTEU_CS,CCTEU_DEV,CCTEU_BIC,CCT3P_OS,CCT3P_PW,CCT3P_LA,CCT3P_DEV,CCT3P_BIC,CCT4P_OS,CCT4P_PW,CCT4P_LA,CCT4P_CS,CCT4P_DEV,CCT4P_BIC,CCT6P_OSg,CCT6P_OSl,CCT6P_PWg,CCT6P_PWl,CCT6P_LA,CCT6P_CS,CCT6P_DEV,CCT6P_BIC,CCTRN_mp,CCTRN_DEV,CCTRN_BIC,BARTRN_pm,BARTRN_DEV,BARTRN_BIC,BART1_OS,BART1_alpha,BART1_mu,BART1_LA,BART1_CS,BART1_DEV,BART1_BIC,BART3_OS,BART3_alpha,BART3_mu,BART3_CS,BART3_DEV,BART3_BIC
35,40.53,40.53,44.65,579,579,300,0.27821896,0.40779401,15.38,0.75,0.71,0.125,0.125,0.4,0.4,0.38,7,7,0.742537313432836,0.742537313432836,8.72,0,7,3,1,4,4,10,9,1.875,1,1,3,2.5,3.375,3,4.5,4.25,3.25,3,1.75,2.375,2.5,2.25,2.5,2.625,3.625,5,31,12,16,13,13,8,7,19,24,26,69,18,18,18,13,67,24,0,1,4,3,2,0,0,0,1,2,1,1,0.3244444444444444,0.8111111111111111,0.6388888888888888,0.8571428571428571,-0.5141229132395208,NA,NA,NA,NA,NA,NA,70,63,90,24,64,89,60,24,70,44,99,59,70,23,55,0,73,0,0,0,85,81,32,62,69,60,63,22,69,0,0,0,39,41,0,62,16,78,31,74,28,0,100,100,23,28,0,67,75,55,60,0,60,0,0,0,73,63,0,70,1.6712943,0.0039250525,53.276345,61.100391,1.5752531,0.74391391,2.2345966,0.0090372078,44.107352,59.755444,1.6355984,1.5571425,0.77558958,0.73390405,3.2806943,0.0067050579,44.018503,67.490641,69.314718,5.8713317,3.8302694e-13,85.834424,94.213734,0.8765568,0.26100876,1.8787617,0.37050132,49.21244,65.971059,0.62950619,1.0125399,2.9910937,0.13423501,0.52864537,1.1103856,44.061433,69.199362,91.495428,2.8353708e-10,3.1990405,329.8051,338.66673,0.0312742,0.073633796,0.2130182,206.79633,220.08878,0.031259491,0.07361799,0.21304465,10,206.79633,224.5196,0.0036241694,0.31508829,0.11294906,2.952133e-10,0.55870704,10,204.64847,231.23337,0.95861031,208.18557,212.61639,0.95707632,916.09672,919.49792,1.9436662,2376.3048,2379.618,0.093681148,5.6751627,173.20135,190.20734,0.54470907,636.53582,640.18988,0.082844395,168.48685,182.09164
41,30.9,30.9,33.41,437,437,267,0.20841444,0.29437048,18.75,0.5,0.5,0.75,0.75,0.54,0.54,0.48,6,6,0.7997512437810945,0.7997512437810945,10.06,1,8,2,3,8,7,9,7,2.5,2.5,1.75,2.125,2.75,3.25,3.625,3.5,3.75,4.625,3.375,2.625,3.875,2.75,2.5,1.25,2.5,4,4,24,9,22,14,11,9,7,16,31,25,72,14,14,16,18,62,23,0,1,3,3,2,3,3,0,1,2,2,4,0.96,1,0.9285714285714286,0.9017857142857143,1.7766906134983498,NA,NA,NA,NA,NA,NA,80,41,70,21,81,69,41,8,80,80,67,45,70,20,31,6,70,4,9,9,30,33,13,89,64,71,66,41,70,26,21,33,74,78,38,36,71,59,66,26,75,5,9,38,77,65,10,36,58,21,44,21,71,0,0,35,39,57,13,76,0.61163075,0.69044928,53.136924,60.96097,0.87348031,0.73684094,0.26248862,0.6665546,43.128924,58.777016,1.0172339,0.34964594,0.73327836,0.72347264,10,0.35107567,42.594327,66.066465,69.314718,0.70639684,2.2909765,23.333185,31.712495,0.71347374,10,1.0348715,2.1514226,13.600207,30.358826,0.51413426,0.71474974,10,0.94490593,0.70837471,5.9482553,12.106047,37.243976,91.495428,2.1488311e-10,2.8896656,289.55732,298.41896,8.3136942e-10,0.087829835,0.52841448,230.41229,243.70474,5.3900218e-11,0.087830837,0.52841374,10,230.41229,248.13556,5.8510807e-10,1.0033704,0.097359014,1.8527902,1.4700016,6.0344824,228.43673,255.02163,0.92978295,238.93762,243.36844,0.96383762,421.54046,424.94166,0.68069963,250.29468,253.01423,7.031647,9.4479131,159.89827,176.90426,0.49084651,295.19063,298.40115,0.15314263,157.91404,171.51883
43,45,45,48.87,563,563,268,0.25993909,0.41917615,19.38,0.62,0.4,0.625,0.625,0.52,0.52,0.36,2,2,0.742537313432836,0.742537313432836,7.11,1,9,7,3,9,10,8,10,2.625,3.75,1,2.875,3.375,3.5,3.625,3.25,4.25,3.875,3.5,2.5,3.375,3.75,2.5,1.75,2.875,3,4,22,14,18,15,11,9,5,19,27,26,72,17,17,15,16,65,27,0,1,2,4,4,3,1,2,3,2,2,2,0.3522222222222222,0.7517460317460317,0.6632539682539682,0.6696428571428571,-0.7741449962819842,NA,NA,NA,NA,NA,NA,80,75,67,69,69,59,41,22,85,70,36,59,66,59,62,23,63,24,13,19,72,70,21,69,35,80,62,44,62,37,16,61,68,83,55,41,66,74,59,59,58,35,22,18,66,78,24,33,63,44,55,43,62,21,29,9,61,66,37,47,1.1429707,0.055472434,50.602264,58.42631,0.89921385,4.120207,0.53123151,0.14892356,43.164554,58.812646,1.1508259,0.55778793,4.1082718,3.388636,10,0.048121585,41.794845,65.266983,69.314718,0.42707777,2.3576843,56.855331,65.234641,0.53015272,0.42753605,1.3439067,5.9489679,23.329132,40.087751,0.43161726,0.63338618,0.68065951,0.11920756,0.54711076,10,20.737683,45.875612,91.495428,5.9182215e-10,3.5762132,265.15141,274.01305,8.2400531e-10,0.1138407,0.39809315,179.5673,192.85976,2.0609625e-11,0.23610939,0.040659638,6.0370809,179.36558,197.08885,5.256906e-13,0.061574573,0.16660049,1.9709456e-10,0.5224087,10,178.77852,205.36342,0.96239767,187.50713,191.93795,0.97455681,614.91813,618.31933,1.5056173,163.58777,164.64138,0.17649183,8.0397493,120.52536,137.53134,0.75924638,44.223053,44.894302,0.18637139,108.09457,121.69936
33,34.37,34.37,35,463,463,272,0.21806878,0.25219714,19.38,0.38,0.43,0.125,0.125,0.44,0.44,0.38,NA,NA,0.736318407960199,0.736318407960199,5.2,0,7,8,1,10,8,1,3,2,1.5,1,3.25,2,3.125,3.875,3,5,4,3.625,1.75,2.375,1,1,2.125,2,3.75,4,12,15,11,7,9,6,6,21,17,16,54,17,17,13,13,60,23,0,1,8,8,6,1,0,1,2,2,0,2,0.5744444444444444,0.6424603174603175,0.7463492063492063,0.9464285714285714,0.1949546358321526,NA,NA,NA,NA,NA,NA,31,40,40,70,60,70,80,70,40,40,70,80,80,31,70,0,59,60,38,23,69,70,60,60,4,92,0,100,17,92,100,100,17,15,82,63,68,58,32,31,19,67,78,81,9,14,69,85,68,75,77,68,67,62,69,36,19,25,100,85,0.36794812,1.4970303,60.504941,68.328987,0.45714594,1.1335989,4.8718721,0.56127465,53.021006,68.669098,0.16285755,1.1853945,0.65843459,1.1972731,0.0085046292,10,44.158835,67.630973,69.314718,0.22002196,0.71396052,89.338395,97.717704,0.29146957,0.24364871,1.8331947,10,23.726879,40.485498,0.42415137,0.1656334,0.15558881,0.20389831,10,7.0759113,21.018518,46.156447,91.495428,0.0039300662,2.8974593,314.85614,323.71777,0.063137931,0.17704858,0.54524701,258.9689,272.26135,0.063140652,0.17705941,0.54523296,10,258.9689,276.69217,0.0020498683,0.21169272,0.23458622,3.748668e-12,1.0824375,10,253.18832,279.77322,0.92231898,274.18146,278.61228,0.98333326,508.59645,511.99765,0.76890745,887.18939,888.64101,9.432946,8.417436,147.85282,164.85881,0.3943159,417.30192,418.56976,0.12216667,150.83442,164.43921
36,44.3,44.3,50.06,504,504,184,0.23612129,0.43618571,32.75,0.75,0.75,0.375,0.375,0.5,0.5,0.4,5,5,0.7723880597014925,0.7723880597014925,10.19,0,8,4,3,9,8,8,8,2,1.25,1,3.625,2.625,4,2.625,3.5,5,2.75,2.875,1.875,4,2.75,1,2.625,2.125,3,7,41,10,19,15,12,7,6,16,26,27,69,17,19,18,17,71,23,0,1,6,4,3,2,2,0,1,2,0,3,0.7,0.7261904761904762,0.6461111111111111,0.8571428571428571,0.30998917242061874,NA,NA,NA,NA,NA,NA,80,50,59,31,89,21,21,30,80,60,70,31,73,19,60,0,69,0,0,0,77,66,0,69,69,58,42,42,66,1,23,41,58,56,0,64,67,29,44,0,77,1,0,0,66,41,0,76,58,29,0,2,57,0,1,0,45,9,62,70,0.56461021,1.0102125,50.937099,58.761145,0.77662197,0.69572246,1.307476,0.52064833,46.676089,62.324181,0.32836285,1.2092336,0.64163573,0.82065472,0.011308147,7.812653,42.862839,66.334977,69.314718,4.4937146,9.0682362e-9,68.962943,77.342252,0.97576284,0.035963349,0.99226985,0.34767678,54.767487,71.526106,0.37944744,0.97156299,10,2.5413022e-9,0.12433262,3.5201445,49.205577,74.343506,91.495428,0.2373929,10,220.20367,229.0653,0.1983483,0.59972928,2.7439162e-10,116.91664,130.20909,0.19834708,0.59973236,3.1399733e-9,10,116.91664,134.63991,0.16128419,0.95857915,0.61446304,6.996676e-9,0.41899953,10,114.99637,141.58127,0.972978,128.72387,133.15468,0.98799954,390.01136,393.41256,1.6981254,245.47934,245.79058,0.12835988,9.906309,94.801808,111.8078,0.45793522,494.45587,496.57823,0.36455626,101.10511,114.70989
33,32.6,32.6,35.64,439,439,254,0.20069347,0.26234996,55.5,0.62,0.75,0.625,0.625,0.44,0.44,0.38,3,3,0.7487562189054725,0.7487562189054725,7.08,0,6,1,2,5,4,2,8,1.625,1,1.25,2.375,3.5,3.5,3.375,2.75,3,3.625,3.375,1.875,3.875,3.25,2.25,2.125,4.5,3.625,6,30,8,15,14,12,6,5,13,21,26,60,18,17,18,13,66,25,0,1,2,4,3,2,0,2,3,2,2,4,0.4866666666666667,0.8464285714285714,0.7878571428571428,0.8482142857142857,0.13775192536561595,NA,NA,NA,NA,NA,NA,88,43,71,25,94,36,11,7,99,82,74,20,84,37,62,4,79,0,10,29,90,90,3,4,77,57,56,6,85,2,6,14,72,75,15,2,50,40,35,0,60,1,4,24,48,46,9,72,89,59,60,0,94,3,1,6,77,72,6,28,1.6464734,0.0040105867,55.039004,62.86305,1.1124535,3.0032189,1.4487423,0.031608816,46.08315,61.731242,0.90198063,1.3161264,3.3797222,2.7532991,0.20941109,0.087995915,45.76212,69.234258,69.314718,0.94867509,0.16430867,56.256502,64.635811,0.49969042,0.2774733,0.80972856,2.9480542,50.985695,67.744314,0.43927494,0.75725155,0.4834681,1.2179369e-10,0.20609463,4.0757744,48.642478,73.780406,91.495428,2.0826468e-9,3.1226727,263.26265,272.12428,1.8785784e-9,0.1204829,0.60558033,222.26017,235.55262,5.059814e-8,0.1205027,0.60559046,9.9996456,222.26017,239.98344,5.7042913e-7,2.9161147e-6,0.16867826,1.7875382,0.21082815,5.5125289,222.17299,248.75789,0.9300876,239.22818,243.659,0.96401175,404.79812,408.19932,0.83293932,982.2407,997.93932,2.7826812,9.9983941,148.79199,165.79798,0.44041288,48.067435,48.331973,0.23677712,137.14989,150.75468
34,33.5,33.5,34.75,299,299,147,0.14073738,0.12186669,31.88,0.38,0.25,0.5,0.5,0.32,0.32,0.44,4,4,0.7313432835820894,0.7313432835820894,9.1,0,6,5,3,7,5,8,10,1.75,1,1,2.375,3.625,2.375,3.75,3.75,4.25,3.875,2,2.75,2.375,3,1.5,2,3.875,3.25,4,21,14,20,18,9,12,7,21,32,27,80,20,19,18,13,70,25,0,1,4,7,6,1,1,0,1,2,1,3,0.6933333333333334,0.8203968253968253,0.7634920634920634,0.9642857142857143,0.7544863948799648,NA,NA,NA,NA,NA,NA,83,73,85,12,89,37,21,3,74,48,69,55,100,49,54,0,100,0,0,0,80,74,59,68,69,61,48,21,59,39,0,0,72,40,27,55,78,55,53,47,99,4,1,0,58,25,59,40,53,36,9,0,40,0,46,0,23,41,28,60,1.3364571,0.0095122202,62.43544,70.259486,1.3474529,0.74446208,10,0.014897169,35.622717,51.270809,0.31203313,1.5286843,0.66202436,0.78496068,0.018365799,7.5606315,26.980237,50.452375,69.314718,0.65742708,0.99001426,46.474343,54.853652,2.7427328,1.6809426,3.0596644,6.7056286e-4,19.551861,36.31048,0.99638521,1.414482,0.49990218,0.38565974,0.24434177,10,1.9570215,27.09495,91.495428,0.36615891,10,260.42985,269.29148,0.40947075,1.7578536,0.17872716,233.64895,246.9414,0.29470269,2.9148723,0.048896708,6.4099207,232.90462,250.62789,0.17861383,0.75033372,2.2657222,0.2099755,1.2206657,6.1047861,224.7805,251.3654,0.87940275,250.30485,254.73567,0.94914536,940.7933,944.1945,0.81408962,742.0894,743.85067,7.6376503,9.9977373,134.60708,151.61307,0.29866333,428.85855,429.74713,0.22335203,128.5703,142.17508
34,42.97,42.97,49.72,438,438,210,0.18956784,0.20072223,18.88,0.62,0.5,0.5,0.5,0.48,0.48,0.32,3,3,0.716417910447761,0.716417910447761,6.96,1,4,5,4,8,7,4,7,2.625,4,2,3,3.5,3.125,2.875,1.75,3.25,3.5,2.75,2.625,3.625,3.25,2.25,2.25,3.375,3.125,5,27,11,10,12,10,6,6,17,16,22,55,18,12,15,15,60,22,1,1,7,7,4,1,0,1,2,2,0,3,0.6144444444444445,0.8182539682539682,0.6571428571428571,0.7857142857142857,0.118022086092533,NA,NA,NA,NA,NA,NA,61,30,31,20,69,2,21,3,88,79,3,56,62,30,62,3,55,1,10,10,90,81,9,60,69,82,71,24,71,20,10,59,90,81,9,7,60,28,58,9,41,10,19,31,78,79,61,20,64,65,60,16,60,19,30,21,42,31,64,69,0.99375854,0.33784319,27.457136,35.281182,0.98746634,1.0054102,1.1613373,0.33411589,27.112806,42.760898,0.88580507,1.0247215,1.0604612,0.98327742,0.62556868,0.53453371,26.932194,50.404332,69.314718,0.48101536,1.4901042,61.547356,69.926666,0.73802194,0.48839091,1.5659047,6.3840724,11.265061,28.02368,0.76584993,0.96462382,0.59038608,0.51046258,0.70446357,10,4.721644,29.859572,91.495428,0.26947245,10,226.34351,235.20514,0.19786238,0.5787905,0.62935559,209.80994,223.10239,0.19785867,0.57878962,0.62935817,10,209.80994,227.5332,0.17232889,0.44427507,0.5934545,0.58446319,1.2214501,10,207.26568,233.85058,0.92405367,254.78741,259.21823,0.94262767,765.78836,769.18955,1.9021904,109.09472,111.21554,0.037000745,8.1895524,119.72494,136.73093,0.44938841,5626.0505,5665.6474,0.20548384,124.3662,137.97099
31,42.5,42.5,48.89,461,461,248,0.22068918,0.36628863,21.25,0.38,0.38,0.375,0.375,0.46,0.46,0.56,5,5,0.7375621890547265,0.7375621890547265,7.39,0,5,4,1,7,7,1,5,2.5,3,1,1.875,2.875,3.75,3.625,4.75,5,4.625,4.125,2.125,2.25,1,1,1.375,2.25,3.125,2,12,9,18,10,13,8,9,18,26,23,67,18,18,16,15,67,25,0,1,2,2,1,0,0,0,1,2,2,0,0.41444444444444445,0.43992063492063493,0.6154761904761905,0.7589285714285714,-0.9334197431571343,NA,NA,NA,NA,NA,NA,89,59,82,11,91,4,10,5,92,90,3,3,99,79,97,1,100,0,1,0,98,97,0,1,90,92,96,0,97,0,1,1,96,98,1,0,92,32,64,0,94,0,0,1,82,77,0,41,95,80,69,42,95,0,0,0,33,99,0,6,1.7465149,9.7838161e-4,64.710873,72.534919,1.0620191,1.4337532,0.44928949,0.030685623,63.860481,79.508573,2.4744041,6.274268,1.3755309,9.891649,1.7297788e-8,2.6033631e-5,58.87238,82.344518,69.314718,6.79615,1.0991208e-13,73.172113,81.551423,2.5363152,0.48152457,3.178633,2.4222091e-4,42.775422,59.534041,0.59909783,1.1426745,3.2327074,9.5184971e-12,0.21815488,2.7069703,31.284657,56.422585,91.495428,1.1941409e-9,3.0614773,280.95636,289.81799,0.0052602934,0.014818288,0.20587682,184.97495,198.2674,0.0052669293,0.014822477,0.20586189,10,184.97495,202.69822,0.0035026322,3.4213801,2.8342495e-10,1.9057027,10,8.4951983,182.45563,209.04053,0.95247172,185.03246,189.46328,0.97344161,452.27157,455.67276,1.4053055,155.59081,157.8322,0.34822868,9.9999944,119.65745,136.66344,0.57250075,368.34539,372.94291,0.25060654,115.60766,129.21245
29,37.7,37.7,42.86,437,437,287,0.19907539,0.24750259,19.75,0.5,0.5,0.375,0.375,0.52,0.52,0.38,2,2,0.7350746268656715,0.7350746268656715,9.85,0,7,4,2,7,7,2,3,2.25,1.5,1,2.125,1.5,3.375,3.125,3,4,3.5,3.625,2.25,2.875,2.25,1.25,1.75,1.875,3.25,3,13,10,15,12,11,7,5,15,22,23,60,14,13,14,12,53,26,0,1,5,5,3,4,2,2,3,2,1,2,0.7033333333333334,0.7765873015873016,0.6214285714285714,0.8214285714285714,0.2856494254326027,NA,NA,NA,NA,NA,NA,85,41,80,9,85,20,7,4,80,75,40,41,76,28,47,7,53,1,0,1,87,86,13,29,55,54,56,47,58,2,8,41,88,79,0,15,67,43,56,10,61,1,5,6,90,85,14,27,68,12,60,7,65,1,0,0,59,62,7,38,0.59840185,0.7138325,54.016925,61.840971,0.57860918,0.89515941,2.0034655,0.70864677,51.828099,67.476191,0.75772058,0.53704896,1.6621284,0.74115514,10,0.23706434,48.065683,71.537821,69.314718,0.45200327,4.4431074,33.777471,42.15678,0.53048028,0.48088521,1.15248,8.6002212,16.200576,32.959195,0.47722227,0.46940321,0.669233,0.20219789,1.326328,10,15.358207,40.496135,91.495428,0.29571915,9.6721172,290.79187,299.6535,0.14747059,0.33306525,0.55299723,249.46572,262.75817,0.14748775,0.3330866,0.55298672,10,249.46572,267.18899,0.11300216,0.39892234,0.3562629,0.33791869,1.0600699,10,244.69923,271.28414,0.91614258,274.83876,279.26958,0.95528679,604.54949,607.95068,1.0632855,5256.4456,5278.6826,3.2732975,9.9999794,140.96973,157.97572,0.25324857,5637.5337,5662.8745,0.19411995,140.27843,153.88322
37,33.53,33.53,35.81,530,530,195,0.24528148,0.45027303,15.38,0.75,0.71,0.375,0.375,0.44,0.44,0.42,NA,NA,0.7375621890547265,0.7375621890547265,6.9,0,6,2,4,6,4,4,6,2.5,3.5,1.5,2.625,4,3.875,3.125,2.5,4,4,2.625,1.625,2.375,1.5,1,1,2.375,2.25,4,24,8,19,15,13,6,7,15,25,28,68,17,18,15,16,66,26,0,1,5,5,4,0,0,0,1,2,2,0,0.7266666666666667,0.8833333333333333,0.8269841269841269,0.7232142857142857,0.6321285610185329,NA,NA,NA,NA,NA,NA,30,47,35,44,71,20,44,48,80,69,29,10,20,21,0,71,30,1,54,55,70,69,10,39,69,61,31,32,67,0,20,30,58,59,0,60,39,29,28,17,37,0,29,31,41,41,0,63,69,31,54,0,57,0,0,29,39,66,0,28,1.5886341,0.0034835127,59.44582,67.269866,1.3017312,1.0479429,7.2811799,0.0072100497,46.005159,61.653251,0.4746591,1.5107559,0.53762355,1.1002219,0.017214266,1.4022299,42.907365,66.379503,69.314718,1.6803293,0.012550277,41.60189,49.981199,0.33313891,0.24120699,0.5851449,10,33.110402,49.869021,0.40027849,0.632975,0.0069054558,9.9998071,0.073886752,7.3424677,32.091108,57.229037,91.495428,7.5335072e-10,3.7200984,225.34922,234.21086,0.054811717,0.19652267,0.25322923,130.03258,143.32503,0.054824375,0.19653064,0.25318362,10,130.03258,147.75584,0.032863102,3.3283562,0.23689234,1.6280812,10,7.5612796,128.61098,155.19588,0.9724838,137.36538,141.7962,0.96804271,425.01121,428.41241,1.2386984,37.332305,38.046854,0.75600922,8.9046618,143.30317,160.30916,0.52200854,188.43817,190.54822,0.1735165,146.40365,160.00844
35,31.2,31.2,33.7,578,578,212,0.25179786,0.23842584,17.12,0.5,0.33,0.25,0.25,0.38,0.38,0.4,1,1,0.7487562189054725,0.7487562189054725,9.34,1,9,4,4,9,6,6,2,1.5,1,1,2.125,2.375,2.75,3.25,5,5,3.625,3.625,2.25,3.25,3,2,1.5,1.375,2.875,3,20,12,24,19,11,6,6,18,30,30,78,20,17,14,16,67,26,1,1,5,6,4,1,1,0,1,1,2,2,0.5977777777777777,0.8269047619047619,0.6292857142857142,0.8839285714285714,0.1988359626372749,NA,NA,NA,NA,NA,NA,90,70,85,30,84,14,0,15,100,50,60,70,85,50,70,0,50,0,0,0,70,50,0,70,50,50,50,0,50,0,0,0,70,55,55,70,50,34,50,0,50,0,0,0,70,70,0,80,50,30,70,0,50,0,0,0,55,30,10,85,1.5348931,0.0075760603,53.01874,60.842786,1.4966541,1.6114716,10,0.0062941676,27.939661,43.587753,0.66759191,2.8159193,1.3248081,2.2814577,0.0018267281,0.61579103,22.034302,45.50644,69.314718,0.39310462,1.2708841,76.262457,84.641766,0.59377216,0.42668522,1.6906999,10,8.6559524,25.414571,0.92035909,1.1787395,0.17171793,1.1957759,0.59257655,10,3.8405873,28.978516,91.495428,6.7582551e-10,3.9949703,221.24535,230.10698,2.7166782e-4,0.23159414,0.65279419,170.55569,183.84814,2.698122e-4,0.23159144,0.65279592,10,170.55569,188.27896,0.006156207,2.5590807e-10,0.32671059,0.078938622,0.723945,10,170.13622,196.72112,0.95222424,232.9834,237.41422,0.97580712,339.08211,342.48331,0.88880332,234.22772,235.39511,4.9033593,9.564717,147.89116,164.89715,0.31155155,310.70497,312.34541,0.1987507,152.61035999999999,166.21515
34,25.33,25.33,26.88,272,272,178,0.12674602,0.11681171,6,0.25,0.8,0.5,0.5,0.66,0.66,0.24,5,5,0.675373134328358,0.675373134328358,8.69,0,8,8,4,9,7,9,6,1.875,1.25,2.25,3.125,3.375,3.5,3.5,2.75,4.75,4,3.875,1.875,3.125,3.5,1.5,1.5,2.5,3.375,5,26,11,19,14,12,8,7,18,27,26,71,19,17,16,17,69,21,0,1,3,3,9,0,0,0,1,2,1,1,0.67,0.8912698412698413,0.9142857142857143,0.9642857142857143,1.013617909485682,NA,NA,NA,NA,NA,NA,52,42,47,12,53,0,5,0,53,53,53,56,55,24,44,8,59,0,1,1,72,59,59,61,30,43,16,84,31,0,63,85,33,46,40,66,35,62,35,62,30,2,5,64,44,55,68,66,57,43,60,16,60,1,4,3,57,19,79,80,1.2973015,0.011866862,62.759977,70.584023,1.2039185,1.498028,0.18095866,0.05141915,50.574722,66.222814,1.1933399,1.4006923,1.3293577,2.7249003,0.051042934,0.062147712,49.591382,73.06352,69.314718,0.41468185,2.9563786,52.089698,60.469008,0.73306624,0.84651735,1.6347094,1.6600962,26.211013,42.969632,0.35932481,0.821607,8.8980676,1.1373208,0.235351,10,15.651005,40.788933,91.495428,0.41177731,10,263.90488,272.76651,0.22554415,0.38260177,0.77783178,249.7526,263.04505,0.2255621,0.38263376,0.77785768,10,249.7526,267.47587,0.17033015,0.54440526,0.32035904,0.51070076,1.7283903,10,240.04068,266.62558,0.83951162,285.43613,289.86694,0.93252698999999994,490.64321,494.0444,1.1567624,7765.0878,8000.8174,0.6368994,9.9999913,131.17749,148.18348,1.9999572,8882.0455,9476.8369,0.37476833,130.24081,143.8456
36,43.17,43.17,46.84,320,320,89,0.1500248,0.084885322,51.88,0.62,0.5,0.75,0.75,0.52,0.52,0.3,5,5,0.75,0.75,8.95,1,8,9,9,8,8,6,6,2.375,1.75,1.5,2.375,2.125,4.125,4,2.5,3,4.125,4,2.875,2.25,2.25,1.75,1.25,2,3.5,3,19,7,21,16,10,6,6,13,27,26,66,16,16,11,14,57,29,0,1,4,4,4,0,0,0,1,2,2,3,0.9333333333333333,0.9388095238095238,0.8141269841269841,0.8125,1.32327674700679,NA,NA,NA,NA,NA,NA,89,60,100,9,89,21,8,5,89,92,71,20,83,32,76,0,84,0,5,0,100,86,10,67,79,81,76,30,69,0,0,48,95,94,8,10,88,68,84,0,91,0,0,1,93,83,5,11,19,82,16,56,30,0,0,60,0,15,78,77,0.92272486,0.3218892,35.012722,42.836768,0.83484602,1.1224583,0.84131979,0.49818884,34.277261,49.925353,0.68617784,0.92801007,1.1567807,1.1277243,0.25457056,1.0602934,33.974569,57.446708,69.314718,0.4874559,1.3180966,63.997585,72.376895,0.79521558,0.5762067,1.7117977,1.8966185,22.171333,38.929952,0.7965711,1.2143343,2.3421648,0.51249258,0.44570063,9.9999999,0.3532789,25.491207,91.495428,0.34836849,10,234.10103,242.96267,0.38432607,10,0.12774928,197.17191,210.46436,0.38432602,10,0.12774794,10,197.17191,214.89518,0.26265892,0.95009843,10,0.46498477,1.9372529,10,170.33835,196.92325,0.90140517,228.60383,233.03465,0.97905983,475.84311,479.24431,0.66036593,5.4513127,4.6938868,5.7975429,9.7574613,149.04849,166.05448,0.67958618,98.725485,98.725497,0.11631677,149.82934,163.43413
